comparison,statement,pattern,index,a,b,a_median_ms,a_p25_ms,a_p75_ms,b_median_ms,b_p25_ms,b_p75_ms,b_over_a,a_median_ms_batch2,b_median_ms_batch2,result,relative_difference,iqr_overlap,below_0_1_ms,batch2_faster,batch2_measurable,planning_result,a_plan_median_ms,b_plan_median_ms,a_plan_shape,b_plan_shape,a_indexes_used,b_indexes_used,a_shared_hit,b_shared_hit,a_scan_est_rows,b_scan_est_rows,a_actual_rows,b_actual_rows,a_exact_heap_blocks,b_exact_heap_blocks,type,step6c_baseline_median_ms
capability jsonb: I-2 vs I-3,C1c,containment: diagnostics array contains truncated,GIN,I-2,I-3,0.093,0.093,0.096,0.03,0.026,0.04,0.3226,0.075,0.021,measurable: I-3 faster,0.677,False,True,I-3,True,no measurable difference,0.055,0.062,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,15,7,50,50,3,3,3,3,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C1c,containment: diagnostics array contains truncated,GIN,I-2,I-3,0.098,0.084,0.138,0.023,0.023,0.027,0.2347,0.071,0.02,measurable: I-3 faster,0.765,False,True,I-3,True,no measurable difference,0.066,0.05,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,15,7,50,50,3,3,3,3,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C1d,containment: entity type code BOT,GIN,I-0,I-2,10.947,10.693,12.366,0.803,0.793,0.837,0.0734,11.043,0.759,measurable: I-2 faster,0.927,False,False,I-2,True,measurable: I-0 faster,0.024,0.057,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,214,50,50,225,225,None,198,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C1d,containment: entity type code BOT,GIN,I-0,I-3,10.947,10.693,12.366,0.528,0.518,0.717,0.0482,11.043,0.522,measurable: I-3 faster,0.952,False,False,I-3,True,measurable: I-0 faster,0.024,0.044,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,202,50,50,225,225,None,198,,
capability jsonb: I-2 vs I-3,C1d,containment: entity type code BOT,GIN,I-2,I-3,0.803,0.793,0.837,0.528,0.518,0.717,0.6575,0.759,0.522,measurable: I-3 faster,0.342,False,False,I-3,True,measurable: I-3 faster,0.057,0.044,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,214,202,50,50,225,225,198,198,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C1d,containment: entity type code BOT,GIN,I-2,I-3,1.204,0.734,1.562,0.544,0.518,0.572,0.4518,0.6,0.525,measurable: I-3 faster,0.548,False,False,I-3,True,measurable: I-3 faster,0.098,0.045,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,214,202,50,50,225,225,198,198,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C2,existence operator on a nested value,GIN,I-0,I-2,10.846,10.032,12.861,12.28,11.959,12.614,1.1322,9.982,12.812,no measurable difference,0.117,True,False,I-0,True,measurable: I-0 faster,0.025,0.07,Seq Scan on T,Seq Scan on T,-,-,981,981,50,50,3,3,None,None,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C2,existence operator on a nested value,GIN,I-0,I-3,10.846,10.032,12.861,11.566,11.333,11.986,1.0664,9.982,10.444,no measurable difference,0.062,True,False,I-0,False,measurable: I-0 faster,0.025,0.063,Seq Scan on T,Seq Scan on T,-,-,981,981,50,50,3,3,None,None,,
capability jsonb: I-2 vs I-3,C2,existence operator on a nested value,GIN,I-2,I-3,12.28,11.959,12.614,11.566,11.333,11.986,0.9419,12.812,10.444,no measurable difference,0.058,True,False,I-3,True,no measurable difference,0.07,0.063,Seq Scan on T,Seq Scan on T,-,-,981,981,50,50,3,3,None,None,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C2,existence operator on a nested value,GIN,I-2,I-3,14.334,14.018,15.02,11.514,11.365,11.976,0.8033,10.905,13.263,measurable: I-3 faster,0.197,False,False,I-2,True,measurable: I-3 faster,0.085,0.066,Seq Scan on T,Seq Scan on T,-,-,981,981,50,50,3,3,None,None,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C3,jsonpath exists (@?),GIN,I-0,I-2,11.644,11.255,12.88,0.215,0.209,0.216,0.0185,11.175,0.194,measurable: I-2 faster,0.982,False,False,I-2,True,measurable: I-0 faster,0.025,0.048,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,47,50,50,30,30,None,31,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C3,jsonpath exists (@?),GIN,I-0,I-3,11.644,11.255,12.88,0.104,0.103,0.11,0.0089,11.175,0.103,measurable: I-3 faster,0.991,False,False,I-3,True,measurable: I-0 faster,0.025,0.042,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,34,50,50,30,30,None,30,,
capability jsonb: I-2 vs I-3,C3,jsonpath exists (@?),GIN,I-2,I-3,0.215,0.209,0.216,0.104,0.103,0.11,0.4837,0.194,0.103,measurable: I-3 faster,0.516,False,False,I-3,True,measurable: I-3 faster,0.048,0.042,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,47,34,50,50,30,30,31,30,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C3,jsonpath exists (@?),GIN,I-2,I-3,0.301,0.294,0.314,0.11,0.108,0.131,0.3654,0.263,0.133,measurable: I-3 faster,0.635,False,False,I-3,True,measurable: I-3 faster,0.067,0.045,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,47,34,50,50,30,30,31,30,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C3b,jsonpath predicate (@@),GIN,I-0,I-2,10.831,10.483,12.53,0.093,0.093,0.096,0.0086,11.054,0.082,measurable: I-2 faster,0.991,False,True,I-2,True,measurable: I-0 faster,0.024,0.048,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,27,50,50,12,12,None,12,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C3b,jsonpath predicate (@@),GIN,I-0,I-3,10.831,10.483,12.53,0.029,0.027,0.033,0.0027,11.054,0.027,measurable: I-3 faster,0.997,False,True,I-3,True,measurable: I-0 faster,0.024,0.056,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,16,50,50,12,12,None,12,,
capability jsonb: I-2 vs I-3,C3b,jsonpath predicate (@@),GIN,I-2,I-3,0.093,0.093,0.096,0.029,0.027,0.033,0.3118,0.082,0.027,measurable: I-3 faster,0.688,False,True,I-3,True,no measurable difference,0.048,0.056,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,27,16,50,50,12,12,12,12,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C3b,jsonpath predicate (@@),GIN,I-2,I-3,0.229,0.128,0.231,0.042,0.031,0.062,0.1834,0.088,0.031,measurable: I-3 faster,0.817,False,True,I-3,True,no measurable difference,0.091,0.062,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,27,16,50,50,12,12,12,12,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),Q21,SQL/JSON JSON_EXISTS (function form),GIN,I-0,I-2,10.982,10.847,12.062,15.619,13.503,16.109,1.4222,11.115,11.973,measurable: I-0 faster,0.297,False,False,I-0,False,measurable: I-0 faster,0.023,0.072,Seq Scan on T,Seq Scan on T,-,-,981,981,2500,2500,30,30,None,None,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),Q21,SQL/JSON JSON_EXISTS (function form),GIN,I-0,I-3,10.982,10.847,12.062,14.253,13.464,14.607,1.2979,11.115,12.553,measurable: I-0 faster,0.229,False,False,I-0,True,measurable: I-0 faster,0.023,0.067,Seq Scan on T,Seq Scan on T,-,-,981,981,2500,2500,30,30,None,None,,
capability jsonb: I-2 vs I-3,Q21,SQL/JSON JSON_EXISTS (function form),GIN,I-2,I-3,15.619,13.503,16.109,14.253,13.464,14.607,0.9125,11.973,12.553,no measurable difference,0.087,True,False,I-2,False,no measurable difference,0.072,0.067,Seq Scan on T,Seq Scan on T,-,-,981,981,2500,2500,30,30,None,None,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",Q21,SQL/JSON JSON_EXISTS (function form),GIN,I-2,I-3,15.28,14.324,15.486,14.961,14.277,15.753,0.9791,13.914,13.285,no measurable difference,0.021,True,False,I-3,False,no measurable difference,0.077,0.089,Seq Scan on T,Seq Scan on T,-,-,981,981,2500,2500,30,30,None,None,,
